ST,Year,half,fentanyl_and_related_substances_seizure_count,carfentanil_seizure_count,Date
LA,2022,1,1990,4,2022-04-01
LA,2022,2,1753,0,2022-10-01
MA,1998,1,0,0,1998-04-01
MA,1998,2,0,0,1998-10-01
MA,1999,1,0,0,1999-04-01
MA,1999,2,0,0,1999-10-01
MA,2000,1,0,0,2000-04-01
MA,2000,2,0,0,2000-10-01
MA,2001,1,0,0,2001-04-01
MA,2001,2,6,0,2001-10-01
MA,2002,1,4,0,2002-04-01
MA,2002,2,5,0,2002-10-01
MA,2003,1,19,0,2003-04-01
MA,2003,2,5,0,2003-10-01
MA,2004,1,10,0,2004-04-01
MA,2004,2,15,0,2004-10-01
MA,2005,1,8,0,2005-04-01
MA,2005,2,14,0,2005-10-01
MA,2006,1,9,0,2006-04-01
MA,2006,2,56,0,2006-10-01
MA,2007,1,15,0,2007-04-01
MA,2007,2,9,0,2007-10-01
MA,2008,1,7,0,2008-04-01
MA,2008,2,6,0,2008-10-01
MA,2009,1,10,0,2009-04-01
MA,2009,2,12,0,2009-10-01
MA,2010,1,4,0,2010-04-01
MA,2010,2,18,0,2010-10-01
MA,2011,1,12,0,2011-04-01
MA,2011,2,5,0,2011-10-01
MA,2012,1,15,0,2012-04-01
MA,2012,2,6,0,2012-10-01
MA,2013,1,8,0,2013-04-01
MA,2013,2,27,0,2013-10-01
MA,2014,1,502,0,2014-04-01
MA,2014,2,486,0,2014-10-01
MA,2015,1,1443,0,2015-04-01
MA,2015,2,1705,0,2015-10-01
MA,2016,1,3463,0,2016-04-01
MA,2016,2,3567,0,2016-10-01
MA,2017,1,3805,17,2017-04-01
MA,2017,2,3762,26,2017-10-01
MA,2018,1,4883,3,2018-04-01
MA,2018,2,5307,2,2018-10-01
MA,2019,1,6953,7,2019-04-01
MA,2019,2,5333,6,2019-10-01
MA,2020,1,2646,0,2020-04-01
MA,2020,2,3955,3,2020-10-01
MA,2021,1,5159,1,2021-04-01
MA,2021,2,3646,0,2021-10-01
MA,2022,1,4004,0,2022-04-01
MA,2022,2,3278,0,2022-10-01
MD,1998,1,0,0,1998-04-01
MD,1998,2,0,0,1998-10-01
MD,1999,1,0,0,1999-04-01
MD,1999,2,0,0,1999-10-01
